number,gender,month,day,year,textbooks,cigaretts,HSGPA,Height,mheight,shoe,breakfast,flight,play,vote,TV,exercise,veg,credit,car,caryear,miles,class
122,m,7,21,90,300,0,,71,68,11.5,n,n,n,y,10,0,n,16,y,2006,29000,Sophomore
123,f,11,21,89,375,0,3.8,65,72,8.5,y,n,n,y,12,6,n,16,y,2006,28000,Sophomore
124,m,7,12,89,650,0,3.5,69,66,11,n,n,n,y,27,11,n,16,y,1996,170000,Freshman
125,f,5,27,89,200,0,4,72,72,10,n,n,n,y,0,4,n,18,y,1998,29000,Junior
126,m,6,16,81,0,0,2,74,68,12,y,y,n,y,4,3,y,15,y,2008,12000,Senior
127,f,2,5,90,530,0,3.4,65,73,9,y,n,y,y,3,1,n,17,y,1993,220000,Freshman
128,f,3,23,89,200,0,4,62,71,6.5,y,n,n,y,2,6,n,16,y,2002,110000,Junior
129,f,8,12,90,400,0,4,61,,6,y,n,y,y,1,4,y,17,n,,,Sophomore
130,f,12,4,83,500,0,3,67,72,9,y,n,y,y,14,4,n,16,y,2000,175000,Senior
131,f,7,5,90,420,0,3.6,63,74,8,y,n,n,y,15,6,n,16,y,2006,19000,Sophomore
132,f,5,18,90,600,0,3.7,64,72,8,y,n,y,y,4,6,n,16,y,1997,195000,Sophomore
133,f,12,10,89,418,0,3.6,66,72,8,y,n,n,n,2,0,n,16,y,2000,,Sophomore
134,f,1,18,89,408,0,3.9,66,73,8.5,y,y,y,y,0,7.5,n,15,y,1999,176000,Sophomore
135,f,11,5,89,600,0,3.65,68,72,10,n,n,n,y,6,5,n,15,y,2006,70000,Sophomore
136,f,3,22,90,200,0,3.9,66,72,9,y,n,y,y,2,14,n,16,y,1999,110000,Freshman
137,f,3,8,89,260,0,3.5,66,74,8.5,y,n,n,y,1,3,n,14,n,,,Senior
138,f,3,24,88,100,0,3.7,66,72,8,y,n,n,y,3,8,n,16,y,1998,159000,Junior
139,f,11,12,89,735,0,3.4,61,67,7.5,y,n,n,y,5,10,n,14,n,,,Sophomore
140,m,7,11,89,486,0,3.3,68,62,10,n,n,n,y,0,6,n,14,n,,,Sophomore
141,f,3,16,89,400,0,3.3,67,73,9,n,n,n,y,6,0,n,13,y,2000,111000,Junior
142,m,6,29,90,350,0,4,80,70,15,n,n,n,y,5,15,n,18,n,,,Freshman
143,f,10,19,87,400,0,3.5,63,75,8.5,y,y,n,y,6,1,n,16,y,2007,69000,Senior
144,f,5,9,90,600,0,3.5,62,73,7.5,n,n,n,y,16,3,n,17,y,2003,49000,Sophomore
145,f,1,4,90,183,0,3.25,67,72,10,y,n,n,y,3,1,n,16,y,2003,42300,Sophomore
146,f,3,1,90,250,0,3.75,66,72,7,y,n,y,y,5,4,n,16,n,,,Sophomore
147,f,3,1,90,300,0,3.65,65,72,7,y,n,y,y,5,,n,16,n,,,Sophomore
148,f,3,22,90,60,0,3.6,66,73,8.5,n,n,y,y,4,2,n,17,y,1990,98000,Sophomore
149,f,1,29,89,500,0,3.98,70,78,11,y,y,n,y,25,17.5,n,17,y,2007,,Junior
150,m,1,8,88,150,0,2.7,73,62,10.5,y,n,n,y,3,3,n,17,y,2008,25000,Senior
151,f,6,17,90,700,0,3.5,63,71,6.5,y,n,n,y,6,0,n,16,y,2005,58000,Freshman
152,f,2,19,90,500,0,3.8,64,72,8,y,n,n,y,2.5,1,n,16,y,2007,23000,Sophomore
153,m,6,23,89,600,0,2.8,72,67,12,n,n,y,y,4,5,n,14,y,2003,96878,Sophomore
154,m,5,9,89,319,0,3.87,73,68,10.5,y,n,n,y,10,20,n,16,y,2006,72519,Sophomore
155,f,9,13,89,600,0,,67,72,8,n,n,y,y,,3.5,n,17,y,2005,53000,Junior
156,m,12,27,89,300,0,3.5,68,63,10,n,n,n,y,15,10,n,17,y,2008,21000,Sophomore
157,m,1,24,90,175,0,3,70,67,11,y,n,n,n,25,0,n,15,n,,,Sophomore
158,f,12,9,89,500,0,3.8,68,75,8.5,y,n,y,y,3,8,n,15,y,2002,95000,Sophomore
159,f,12,13,89,250,0,3.63,70,75,10,y,y,n,y,3,5,n,15,y,2009,6000,Sophomore
160,m,7,19,89,150,0,3.75,75,70,13,y,n,n,y,5,10,n,15,y,2006,27000,Sophomore
161,m,10,26,89,365,0,3.8,70,67,11,n,n,n,y,8,8,n,15,y,1999,60000,Sophomore
162,f,1,1,90,120,0,4.6,64,73,9,n,n,n,y,2,2,n,12,n,,,Sophomore
163,m,1,13,89,250,0,4,68,65,10,n,n,y,y,8,10,n,13,y,1994,120000,Sophomore
164,f,10,30,88,375,7,3.5,65,72,7,y,y,n,y,10,0,n,15,y,2003,150000,Junior
165,m,12,13,89,400,0,3.8,74,72,11,y,n,n,y,8,4,n,14,y,2000,103000,Sophomore
166,f,9,3,90,450,0,3.8,63,69,9,n,y,n,y,3.5,1.5,n,15,n,,,Sophomore
167,m,4,11,90,620,0,3.75,67.5,74,8,y,n,n,y,6,11,n,15,y,2004,,Sophomore
168,f,3,21,90,150,0,3.9375,66,77,8,n,y,n,n,6,2,n,17,n,,,Sophomore
169,f,7,14,90,300,0,3.8,62,72,7,y,n,n,y,2,0,y,15,y,2007,15000,Sophomore
170,m,9,19,87,416,10,4,72,68,13,n,n,n,y,4,5,n,13,y,2004,55000,Junior
171,m,9,20,82,595,20,3.8,74,70,12,y,n,n,y,12,3,n,18,y,1990,175000,Senior
172,f,9,1,89,540,0,4.1,62,72,6,n,n,n,y,6,3,n,16,y,2000,109000,Sophomore
173,f,6,15,89,397,0,4,63,72,8,y,n,n,y,2,9,n,17,y,1996,70000,Junior
174,f,11,30,89,350,0,4,66,72,9,y,n,y,y,5,6,n,17,y,2008,19300,Sophomore
175,m,4,16,90,350,0,3.6563,73,65,11,y,n,y,y,3,4,n,16,y,2003,62000,Sophomore
176,m,11,23,90,376,0,3.8,73,69,12,n,n,n,n,5,7,y,16,n,,,Junior
177,f,2,21,90,495,0,3.7,62,71,6.5,n,y,n,y,20,5,n,16,y,2008,10500,Sophomore
178,f,4,5,90,450,0,3.6,69,73,10,y,n,n,y,7,5,n,17,y,2001,123000,Freshman
180,m,10,6,89,430,0,3.9,70,66,11,y,n,n,y,12,9,n,16,y,2006,41396,Sophomore
181,m,2,15,90,355,1,3.73,69,64,10.5,y,n,n,y,6,0,n,15,y,1988,189247,Sophomore
182,m,9,3,90,459,0,3.8,70,66,11,y,n,y,y,4,8,y,15,y,2008,21000,Sophomore
183,f,12,19,89,400,0,3.9,65,72,8,y,n,n,y,5,2,n,15,y,2001,53000,Sophomore
184,m,6,11,90,384,0,4,75,66,14,n,n,n,y,20,1,n,13,y,2003,130000,Freshman
185,m,3,26,90,165,0,3.6,70,68,12,y,n,n,y,5,0,n,15,y,1997,173400,Sophomore
186,m,4,19,90,300,0,3.8,69.5,60,11.5,y,y,n,y,2,10,n,14,y,2000,,Sophomore
187,m,10,24,89,400,1,4,73,67,12,n,n,n,y,14,10,y,15,y,2001,96700,Sophomore
188,m,3,10,88,574,0,3.85,72,65,12,y,n,n,y,15,7.5,n,20,y,2000,135000,Junior
189,m,11,28,89,180,0,3.4,76,66,13,y,n,n,y,14,5,n,13,y,2000,98500,Sophomore
190,m,8,18,90,400,0,3.9,79,68.5,14,n,n,n,y,8,3.5,n,15,y,2002,85000,Sophomore
191,f,7,29,90,244,0,3.5,67,72,9,n,n,n,y,15,4,n,15,y,2005,60000,Sophomore
192,f,10,15,87,550,0,3.9,64,74,5.5,y,y,n,n,0,9,n,17,y,2000,90000,Sophomore
193,m,10,17,89,400,0,3.8,68,65,10,n,n,n,n,15,8,n,14,y,1989,89000,Sophomore
194,m,3,25,90,326,0,3.75,72,67,9.5,y,n,y,y,6,10,n,14,y,2003,112127,Sophomore
195,f,12,17,90,600,0,3.7,65,73,9,y,n,y,n,14,3,n,16,y,2005,,Sophomore
196,f,10,28,88,100,0,3.8,65,71,8,y,n,n,n,10,3,n,15,y,2009,10000,Junior
197,m,4,14,90,105,0,4,73,67,12,n,n,n,y,10,12,n,14,y,2001,,Sophomore
198,f,2,20,90,600,0,3.8,68,74,8.5,y,n,n,y,6,4,n,15,n,,,Sophomore
199,f,7,27,91,440,4,3.98,64,73,8,n,n,n,n,10,2,n,18,y,2002,141000,Sophomore
200,f,12,7,87,200,0,4,66,74,7.5,y,y,n,y,2,0,n,16,y,1997,156000,Junior
201,f,1,25,90,124,0,4,64,70,7.5,y,n,n,y,2,2,n,14,y,2009,4300,Sophomore
202,f,1,31,90,420,0,3.8,67,75,7,n,y,n,y,2,2,n,16,y,1999,200000,Sophomore
203,f,11,6,89,300,0,3.2,65,71,9.5,y,n,y,y,5,3,y,18,y,2008,28000,Freshman
204,f,9,15,89,500,0,4,64,72,8,y,n,y,y,3,12,n,16,y,1999,215000,Sophomore
205,f,4,14,89,350,5,3.9,64,73,7,y,n,n,y,9,10,n,18,y,2000,120000,Sophomore
206,f,3,10,90,550,0,4,64,72,7.5,n,n,n,y,3,2,n,16,y,2004,86000,Sophomore
207,m,1,4,88,300,0,3.9,72,68,11.5,n,n,n,y,15,5,n,18,y,,19000,Junior
208,m,5,5,90,260,0,3.6,71,63,12,n,n,n,y,4,2,n,16,y,2002,113000,Sophomore
209,m,2,15,90,325,0,3.9,68,65,10.5,y,n,n,y,2,1,n,16,y,2006,28000,Sophomore
210,m,6,18,88,361,0,3.8,75,68,12,n,n,n,y,10,5,n,12,y,2007,80000,Junior
211,f,4,14,88,230,0,3.7,63,70,7.5,y,n,y,y,10,3,n,15,y,1997,112250,Senior
212,m,12,14,89,690,0,3.9,67,64,10,y,n,n,y,10,0,n,16,n,,,Sophomore
213,f,2,18,90,393,0,3.75,64,73,9.5,y,n,n,y,14,10,y,16,y,2007,38200,Freshman
214,f,10,18,90,,0,3.8,66,74,9,n,n,n,y,3,1,n,15,y,2000,64000,Freshman
215,m,5,27,88,200,0,3.8,66,65,10.5,y,n,y,y,4,4,n,17,y,1985,215000,Senior
216,f,3,22,90,600,0,3.7,68,72,9.5,y,n,n,y,4,3,n,18,y,1998,150000,Sophomore
217,f,9,3,90,346,0,3.9,68,75,10,y,n,n,y,5,5,n,15,n,,,Sophomore
218,m,6,7,90,500,1,3.5,75,68,13,y,n,n,y,1,5,n,15,y,2004,125000,Sophomore
219,f,4,3,90,483,0,4,65,72,8.5,y,y,y,y,2,3.5,n,17,y,1995,,Sophomore
220,f,6,29,90,400,0,3.6,67,72,8.5,y,n,n,y,4,4.5,n,13,y,2003,125000,Sophomore
221,m,7,1,89,500,0,3.6,73,67,14,y,n,n,y,7,1,n,12,y,2001,82000,Sophomore
222,f,9,19,90,348,0,3.6,62,69,6,n,n,n,y,0,4,n,14,y,1990,132720,Sophomore
223,f,7,19,86,450,0,3.9,63.75,75,7.5,n,n,n,y,25,0,n,13,y,2001,100000,Junior
224,m,4,24,90,325,0,3.6,73,69,12,n,n,n,y,5,10,n,16,n,,,Freshman
225,m,9,11,80,165,10,3.1,72,69,11.5,n,n,n,y,20,5,n,6,y,2002,141000,Senior
226,f,9,18,87,522,0,,61,74,7.5,y,n,n,y,5,0,n,17,y,2007,70000,Sophomore
227,f,2,7,88,1000,0,3.97,68,72,8.5,y,n,n,y,8,0,n,18,y,,56000,Senior
228,m,11,2,88,100,0,3.68,72,,11.5,n,n,y,y,6,30,n,16,y,1999,109000,Sophomore
229,m,4,2,87,200,0,3.8,72,61,12,n,y,n,n,10,14,y,12,y,2000,116000,Junior
230,f,3,22,88,200,6,4.3,66,68,9,y,n,y,y,6,3,n,14,y,1999,135000,Junior
231,f,8,17,88,300,,2.8,64,72,6,n,n,n,y,3,5,n,15,y,,,Sophomore
232,f,8,15,89,800,0,3.5,62,70,6,y,y,n,y,4,4,n,16,y,2001,200000,Sophomore
233,m,3,9,90,279,0,3.9,69,65,10.5,y,n,n,y,20,5,n,14,y,2004,61139,Sophomore
234,m,7,3,90,410,0,3.52,72,67,12,n,n,n,y,17,0,n,18,n,,,Sophomore
235,m,7,31,88,,7,2.8,74,67,10.5,n,n,n,y,0,4,n,15,n,,,Junior
236,m,7,30,88,440,1,3.5,73.5,67,12,n,n,n,y,12,1.5,n,15,y,2001,74250,Junior
237,f,2,7,89,196,0,3.86,63,72,8,y,n,n,y,25,6,n,13,n,2003,126300,Senior
238,f,5,4,89,350,0,,67,74,8.5,y,n,y,y,0,7,n,15,y,2007,50000,Junior
239,m,6,26,87,292,7,3.8,72,64,10,n,n,n,y,2,6,n,13,y,2000,101500,Senior
240,f,11,3,88,300,0,4.25,64,73,8,y,n,n,y,2,5,n,17,y,2002,150000,Junior
241,m,8,8,89,120,0,3.4,72,71,13,n,n,n,n,0,5,n,13,y,1998,175000,Freshman
242,m,1,4,88,400,0,3.2,70,65,10,y,n,n,y,1,7,n,18,y,2003,90000,Senior
243,m,5,5,88,0,0,3.1,73,69,11.5,y,n,n,y,10,6,n,15,y,1991,254000,Junior
244,f,2,19,86,0,1,,70,75,8.5,y,n,n,y,2,0,n,12,y,2003,90000,
245,m,12,20,81,587,0,3.8,75,67,11,y,n,n,y,12,7,n,15,y,1994,174474,Junior
246,m,6,2,89,0,0,3.4,65,65,8,n,n,n,y,3,17,n,12,y,2005,90000,Sophomore
247,m,10,15,88,400,0,3.3,67,66,8.5,n,y,n,y,2,5,n,13,y,,125000,Junior
248,m,4,7,88,207,,,69,66,11,n,n,n,y,,,n,15,y,,,Junior
249,m,8,24,86,514,0,,76,68,12,y,y,n,y,,10,n,13,y,2007,40000,
250,m,12,10,89,0,0,3.4,71,66,11,y,n,n,y,0,15,,18,y,2009,,Sophomore
251,m,2,26,90,460,0,3.8,72,70,11.5,y,y,n,n,1,20,n,16,y,2002,81000,Junior
252,f,1,5,90,210,0,3.5,62,72,6.5,y,y,n,y,3,3,n,13,y,1993,112000,Sophomore
253,f,8,14,89,300,0,4,65,75,7,y,y,n,y,2,5,n,15,y,2009,7000,Sophomore
254,m,7,20,89,350,0,3.4,71,68,11,y,n,n,y,20,4,n,16,y,2000,200000,Junior
255,m,6,12,90,425,0,3.4,68,65,10,y,n,n,y,3,5,n,16,y,2000,98000,Sophomore
256,m,7,3,89,386,0,3.6,72,66,10,y,n,n,y,12,10,n,17,y,1991,65000,Junior
257,f,12,28,89,215,0,3.9,64,73,6.5,y,n,n,y,0,0,n,19,y,2005,60000,Sophomore
