number,gender,month,day,year,textbooks,cigaretts,HSGPA,Height,mheight,shoe,breakfast,flight,play,vote,TV,exercise,veg,credit,car,caryear,miles,class
317,f,5,19,89,250,6,3.75,64,72,7,y,y,n,y,10,6,n,13,y,2005,33000,Junior
318,f,2,10,87,320,0,3.6,63,67,7,n,n,n,y,5,5,n,19,y,1995,155000,Junior
319,f,7,21,90,800,0,3.5,67,72,9,y,n,y,y,12,10,n,17,y,2005,37000,Freshman
320,m,2,9,90,485,0,3.7,72,68,11,y,n,n,y,2,7.5,n,15,y,1994,125000,Sophomore
321,f,5,21,89,250,0,4,60,,6.5,y,n,n,y,11,5,n,17,y,1998,,Junior
322,m,5,19,89,170,0,3.9,72,68,12,y,y,n,y,15,6,n,17,n,,,Junior
323,m,4,5,90,350,4,3.25,72,,12.5,n,n,n,y,0,0,n,17,y,1993,160000,Senior
324,m,4,11,84,150,0,3.5,72,69,11,n,n,n,n,1,5,n,15,y,1999,140000,Junior
325,f,11,22,89,300,0,3.8,63,75,7,y,n,n,y,3,3,n,12,y,2003,130000,Sophomore
326,m,2,10,89,320,0,3.4,72,68,11,n,n,n,y,4,3,n,18,y,2009,12900,Junior
327,f,2,9,90,300,0,3.3,64,76,7,y,n,n,y,3,3,n,15,y,2006,,Sophomore
328,m,1,24,90,350,0,4,62,61,8,y,n,n,y,10,8,n,17,n,,,Sophomore
329,f,3,2,88,400,0,3.3,64,68,8,y,n,n,y,4,2,n,16,y,2009,1800,Junior
330,f,1,7,89,489,0,4,62,75,7,n,n,n,n,7,2,n,18,y,2003,108836,Sophomore
331,m,3,11,89,305,0,3,72,66,11.5,y,n,y,y,6,10,n,17,y,2003,71000,Junior
332,f,6,14,90,580,0,3.995,67,71,8.5,n,n,y,y,2,5,n,17,y,2000,136000,Sophomore
333,f,6,6,89,400,0,3.8,65,74,9.5,y,y,n,y,2,4,n,18,n,,,Junior
334,f,12,29,89,250,2,3.8,66,76,8,y,y,n,y,2.5,8,n,16,n,,,Sophomore
335,f,11,26,89,500,0,3.74,64,69,1.5,y,n,n,y,10,2,n,18,y,2001,100600,Sophomore
336,m,12,31,88,200,0,3,73,67,11,y,n,y,n,4,6,n,16,y,2009,2500,Senior
337,m,9,14,89,310,0,3.892,75,66,12,y,n,n,n,4,15,n,17,y,2003,60000,Sophomore
338,m,5,3,89,500,0,3.4,73,65,11,y,n,n,y,6,3,n,17,y,2003,60000,Sophomore
339,m,5,4,90,450,0,4,70,70,11,n,n,y,y,2,3,n,17,y,2007,2173,Sophomore
340,f,6,5,90,500,0,3.5,67,71,8,y,n,n,y,10,5,n,15,y,1998,107000,Sophomore
341,f,4,22,90,497,0,3.8,66,72,8.5,y,n,n,y,5,8,n,17,y,2006,25000,Sophomore
342,f,9,13,89,450,0,3.89,61,72,5.5,y,n,y,y,4,12,n,16,y,2002,55000,Junior
343,f,5,21,90,450,0,4,65,70,9,y,n,y,y,20,10,n,14,n,,,Sophomore
344,f,11,30,89,130,0,4,69,75,11,y,y,y,y,6,3,n,15,y,,40000,Freshman
345,m,9,7,79,300,0,3.5,68,67,8,n,n,n,n,3,0,n,11,y,1998,12400,Senior
346,f,11,24,89,295,0,3.2,69,76,9.5,y,y,y,y,6,14,n,16,y,2001,100000,Freshman
347,f,9,9,90,400,0,3.9,67,73,11,y,n,n,y,4,14,n,16,n,,,Sophomore
348,f,11,25,87,284,0,,64,65,8,y,y,n,n,20,5,n,16,y,2007,8900,Senior
349,m,4,25,89,300,0,2.8,75,67,12.5,n,n,n,y,6,5,n,16,y,1999,121136,Sophomore
350,m,7,13,85,0,9,2.8,70,64,11,n,y,n,y,2,8,n,15,y,2002,34000,Senior
351,f,5,18,89,400,8,3.99,67,74,7,n,n,n,y,14,3,n,15,y,2001,90000,Junior
352,f,1,5,90,300,0,4,67,72,8.5,n,n,n,y,35,0,n,16,y,2001,,Sophomore
353,m,10,13,89,800,0,3.8,69,65,10,n,y,y,n,0,5,n,14,y,2002,14500,Sophomore
354,f,11,3,88,250,0,3.9,63,69,8,y,y,n,y,10,3,n,15,n,,,Junior
355,f,11,17,89,477,0,3.6,61.5,74,8.5,y,n,n,y,5,1,n,17,n,,,Junior
356,f,4,6,90,678,0,3.98,64,74,9,y,n,n,y,7,9,n,16,y,2006,28000,Sophomore
357,f,4,16,86,300,0,,70,72,10,y,n,n,y,2,1,n,17,y,1997,188000,Junior
358,f,2,20,90,400,0,3.2,63,70,8,y,n,n,y,10,4,n,14,n,,,Sophomore
359,m,11,9,88,540,0,3.4,74,69,11,y,n,n,n,2,9,n,18,y,2004,65000,Sophomore
360,f,6,16,90,54,0,3.9,63,73,8,y,n,y,y,2,4,n,15,n,,,Sophomore
361,f,3,18,88,320,0,3.8,66,75,9.5,y,n,n,y,0,3,y,15,y,2001,,Junior
362,f,7,12,90,300,0,3.9,70,70,9.5,y,n,n,y,1,3,n,17,y,1999,260000,Freshman
363,m,7,25,88,356,0,3.3,73,70,14,y,n,n,y,9,5,n,19,y,2001,92000,Junior
364,f,9,17,90,371,0,4,65,71,9,n,n,n,y,0,3,y,19,y,1995,127000,Sophomore
365,f,11,20,87,110,0,3.7,67,74,9,y,n,n,y,10,3,n,17,y,2005,70000,Senior
366,f,1,5,89,400,0,4,66,73,7.5,y,n,n,y,7,5,n,14,y,2002,70000,Senior
367,m,1,1,89,600,0,4,69,66,10.5,y,n,y,y,3,2,n,16,y,2002,70000,Junior
368,f,10,28,90,375,0,3.96,63,68,5.5,n,n,y,y,0,5,n,17,y,1998,184034,Sophomore
369,f,7,4,89,400,0,4,72,77,9.5,y,n,y,y,3,3,n,18,y,1995,165000,Junior
370,f,6,9,89,290,0,4,66,73,3,y,n,n,y,3,2,n,16,y,2007,12350,Junior
371,f,9,15,89,130,0,3.7,62.5,72,7,n,n,n,y,1,10.5,n,18,y,1998,187000,Junior
372,m,12,6,88,30,0,3.9,70,63,11,n,n,n,y,0,17,n,16,n,,,Junior
373,f,6,26,89,250,0,3.9,65,73,7.5,y,n,n,y,7,3.5,n,15,y,1997,127000,Junior
374,m,9,24,89,57,0,3.3,72,66,12,n,n,n,n,21,20,n,15,y,1999,196000,Sophomore
375,f,1,13,89,325,0,3.8,62,70,8.5,y,n,n,y,,4,n,17,y,1992,183162,Sophomore
376,f,5,23,89,500,0,4,67,74,8,y,y,y,y,2,0,n,18,y,2005,50000,Junior
377,f,2,13,88,0,0,3.8,67.5,73,9,y,y,y,n,5,8,n,15,y,,51000,Junior
378,f,12,18,89,320,0,4.45,70,74,9,y,y,y,y,5,10,n,15,n,,,Sophomore
379,f,5,24,89,250,0,3.8,66,74,9,y,n,n,y,20,3,n,15,y,2002,20000,Sophomore
380,m,9,14,90,500,0,3.5,67,66,8.5,y,n,y,y,3,7,n,14,y,2002,78000,Sophomore
381,m,11,24,88,375,0,4,70,66,11,n,n,n,y,10,5,n,16,y,1999,81000,Sophomore
382,f,1,10,88,350,0,4,67,76,9.5,y,n,n,n,5,1,n,16,y,1999,164777,Senior
383,m,4,18,90,355,0,4,71,67,10,n,n,n,y,3,2,n,18,y,1995,150000,Sophomore
384,m,8,19,89,655,0,3.1,70,66,10,y,y,n,y,3,6,n,16,y,1990,320000,Junior
385,f,7,28,90,521,0,3.85,68,71,8,y,n,y,y,6,3,n,15,y,2001,120000,Sophomore
386,f,8,30,85,300,5,2.1,64,72,9,y,n,n,y,1,5,y,16,y,1998,3,
387,f,7,14,88,350,0,3.9,64,73,7,y,n,n,y,8,8,n,18,y,2007,27093,Junior
388,f,3,19,89,600,0,3.2,62,72,6.5,n,n,n,y,3,3,n,17,y,2009,6600,Sophomore
389,f,4,12,89,488,0,3.9,66,74,7,n,n,n,y,1,3,n,16,y,2003,42000,Junior
390,f,3,3,89,435,0,3.55,66,74,9.5,y,n,n,y,15,9,n,12,y,2001,76530,Junior
391,f,2,3,89,60,0,3.9,63,71,6.5,y,n,n,y,2,4,n,15,n,,,
392,f,5,26,90,400,0,4,66,74,7.5,y,n,n,y,1,20,n,18,y,2002,116882,Sophomore
